"QuestionID","QuestionName","Survey_Agency_Name","SectionName"
"3001856","МЕ знает и может объяснить доли своего KPI","OPEN","Цели визита"
"3001860","МЕ знает стандарты выкладки (в соот. с форматом ТТ, работа с TOP 16)","OPEN","Цели визита"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"1003866","Потенциал в OSA","Головной офис","Заполни анкету по потенциалу"
"3001838","Текущее выполнение KPI МЕ","OPEN","Цели визита"
